Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
189849,B001EO5Q64,A2MSHDL7FF6FRX,Dee Goding,0,8,3,1303689600,to use or not to use???????,"I haven't really used it too much yet.......  On the occasions that I have it's not really been what I wanted it to be, which has made me use it less -  I don't know - I need more time......."
563042,B007JFMH8M,A1TIALU0XG3172,whitefam1,0,0,5,1343174400,YUM!,This cookie was really good... I liked the single serve packaging and the portability of the product! great for on the go and not loaded with junk!
563841,B007JFMH8M,A1N5FSCYN4796F,"Philip R. Heath ""Gadgets, Music, & Books""",0,0,2,1343865600,"OK Taste, But Too Many Questionable Ingredients","Quaker's Soft Baked Oatmeal Cookies with Raisins are OK, but they left me wanting something better.  I thought they tasted good, but I found them to be a little on the dry side.  A lot of packaged cookies have an odd chemical aftertaste, but I didn't really notice much with these.<br /><br />However, I would like to see better choices on ingredients.  First, I don't understand the need for both bleached and unbleached flour.  Quaker should just stick with unbleached.  Second, I accept sugar as an ingredient.  These are cookies.  Cookies are sweet, and I expect sugar.  Yet why do they also have to use fructose, invert sugar syrup, corn syrup, and polydextrose?  These also contain molasses, which are a natural sweetener.  Finally, these have both corn starch and modified corn starch.  Again, why?  You may find other ingredients that you would question, but these seemed like the glaring issues to me.  In the end, I think this is too much to overcome when you combine it with a relatively high percentage (60 out of 170) of calories from fat.  In short, I cannot recommend these cookies."
329898,B002QWHJOU,A2UPT3109IE5Q2,"Jake ""tusks7""",0,0,5,1272758400,My dogs love these!,My dogs love these. They each get one a day. Amazon's prices are great! Thanks...
356090,B002QWP8H0,A3HHLRVCGQW0L7,Julia Kuiper,1,7,1,1303084800,Didn't receive what I ordered,I ordered the Teenie pack of Greenies that was supposed to come with 96 teenie sized chews. I ended up receiving a pack with 52 teenie sized chews and 8 large chews. I returned the product because I did not receive what I ordered. Amazon couldn't replace my order because they couldn't guarantee I would get the right product if ordered again.
355514,B002QWP8H0,A3TDMH1Z8CUBAF,JuneauGal,1,1,5,1310083200,My dogs love these chews!,"I am the lucky parent of three dogs. I alternate their teeth cleaning chews and they love the Greenies and the Checkups best. Thanks to Amazon, I don't have to pay for S&H, which living in Alaska, usually costs a fortune!! Thank you Amazon!! I prefer to purchase from our local pet store, but they aren't able to get the Greenies or the Checkups, so I'm very happy that I can order them through Amazon."
189797,B001EO5Q64,A1TY5GWL6G8DF3,cococart,1,2,3,1336867200,Am I Missing Something?,"Just got this brand for the first time.  I gave been using the ""Lou-Ana"" brand from<br />a local store that is refined.  From my understanding, Organic Extra Virgin Coconut<br />oil has a more cocount taste, smell and more nutritious.  From what I see, there's<br />no difference in taste and smell. Is this the real Extra Virgin or is it refined<br />coconut oil?"
21541,B002QWP89S,A2974R9BTPZPOJ,DoKi,11,19,2,1264809600,Not too thrilled,"I expected to recieve a box of Greenies, which is why I ordered this.  I thought that it would be a nice and neat way to store them.  Instead what I recieved was a bubble bag full of individually wrapped greenies.  Not neat and easily stored at all.  The picture of this item shows a box, but I did not recieve a box of greenies.  I wish I would have just ordered the bag of greenies, with the ziploc top, at least that is easily stored.  My dog also has a sensitive stomach and food allergies, even though greenies don't have corn in them he still pukes them up and doesn't seem interested in them when I try to give him one.  My larger dog has the bigger size and he likes them just fine, so I guess it just depends on your dog.  My main complain about this purchase was that I didn't recieve the box of greenies that is described.  Maybe they ran out and just threw 45 individually wrapped greenies in a bubble mailer, either way, that was disappointing."
367820,B003B3OOPA,A3BAJ0HDKFRE0F,Maravilha,1,1,4,1305331200,Excellent Product!,"My hair gets very soft and shine wit this oil. The only negative is that your hair will get stiff in cold weather when using it. Other than that, I love it!!"
74774,B0026RQTGE,AQ5GU666JJWV,Jeanine Yamazaki,0,0,2,1342051200,Dog got sick,Been buying greenies for years.  Decide to try the senior version but it made my dog sick.  I don't know if its to soft or what but it seemed to get stuck in his throat that he'd eat some grass to throw it up.  Bummed since I bought a tub.
75213,B0026RQTGE,A22JW7FCT9ASWE,Allie,24,47,1,1253318400,Be careful with wheat gluten,"I'll admit, I am reviewing a product I have not used.  The reason is that wheat gluten is about the #1 cause of allergies in dogs.  When wheat gluten is broken down it gets very sticky, so it coats the cilia of the digestive tract.  This can cause irritation, and cause the immune system to actually destroy the lining of the intestines.  This means that your pup might not be able to absorb all the nutrients he is eating.<br /><br />Often allergies show up as 'hot spots' where the dog gets itchy and possibly scratches fur off.  The problem with food allergies is it's possible that they won't be obvious because all the damage will be internal.<br /><br />So, I have not seen a problem with this product, but I have known dogs who have had terrible reactions to wheat.  It's the same things as ""gluten intolerance""in humans, but it's much more common in dogs who are not quite as good at digesting grains.  Wheat flour can be bad enough, but including concentrated wheat protein is much worse - because that is what causes the allergies."
563095,B007JFMH8M,ASKUUQZA96A9,musicspeaks04,0,0,5,1343001600,love these,MY SON AND I TASTED THESE COOKIES FROM A MOMVOX I RECIIEVED. WE HAVE HAD THESE COOKIES BEFORE AND LOVE THEM
21408,B002QWP89S,AP355AXC75N7U,Wes Rice,0,0,4,1293235200,Our 3 dogs love greenies,"Our three dogs, 2 Cairn Terriers (5 & 4) and a 15+ year old border collie are proud of their Greenies. They like the taste and it helps keep their gums and teeth in good shape."
329864,B002QWHJOU,AYN45AFLZ8JVN,B. Crider,0,0,5,1285459200,Greenies,Received as promised. What can you say about dog treats? I personally haven't tasted one! lol Shipper was prompt for delivery.
21275,B002QWP89S,A82YGCB4KNFB8,Franco Caliz-aguilar,0,0,4,1320019200,Well...,My dog's bad breath went away...but as for long term health effects I have no idea whether positive or negative. My dog likes them and they've been recommended to me by everyone around. Amazon tends to beat the box xstores by 5-7$ a box.
189752,B001EO5Q64,A1BLMEO99DQQ8Z,Amy,0,0,4,1289347200,Nutiva Organic - great for dry hair,"I found a suggestion for this product in a beauty magazine and since I have VERY dry hair, I decided to give it a go.  I use the coconut oil as a leave-in conditioner for my dry ends.  My hair feels softer and I have received many compliments on it since I started using the product.  I also use it as a lip balm."
21082,B002QWP89S,A30COJ9SQH4SVZ,"playboyesquiere ""playboyesquiere""",0,0,4,1345507200,not bad,So far so good. My dog seems to love this things. They do stink when you open the box so beware. I don't know how well they preventing the plaque from building up on his teeth only time will tell. 4stars based on potential good it will do for my dog and the fact that he loves them. You do get alot to last you for 96 days b/c it only says to give one a day so I think that will be adequate time to fully evaluate. I'll update when that time comes but for now it's worth giving it a shot.
21568,B002QWP89S,A2XYBW17T0KI5R,mmq1943,0,5,2,1325030400,wrong size,I ordered the large size but received the regular size for dogs 25-50 lbs.  My dog is 75 lbs and needs the other size.
24006,B0013NUGDE,A2JFRJPWWPFYE3,"Cesar Trujillo ""Cesar""",0,0,4,1287446400,salty,a little too salty for me but tasty.  I hope my taste buds aren't just acting up.  They were a large portion though.  That surprised me.
21017,B002QWP89S,A21KPT2TLE20SI,M. J. Glita,4,6,3,1294963200,Wrong size,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!"
21560,B002QWP89S,AIKXESYKV13OT,pc,1,5,1,1339200000,Greenies Dental Chews For Dogs,"Consumers Beware of Greenie products for dogs or cats. It contains a very toxic ingriedant called, Menadione Sodium Bisulfite {MSB},which is a synthetic {man made} form of Vitamin K3 and causes cancer, organ damage {kidneys,lungs,liver,and mucous membranes}. It is also in almost All dry and canned pet foods. Chech your ingredients on All of your pet treats and foods. This will kill your pets. Check to see if BHA,BHT,and propylne glycol are listed in your treats and foods, both dry and canned. These Will Kill pets."
189851,B001EO5Q64,A1OU9G92IMPW8Y,erika,8,26,1,1303344000,coconut oil everywhere.,"I ordered this product and just got my box today 4/21/2011.  When I opened the box there was another box, so I opened the next box and there is cocunut oil all over the 2 jars, bubble wrap and all over the box!  I will never order this again, as today I received my box and they already close the return date!  There is a major problem here and I do not recommend anyone ordering this product.  I want my money back."
23886,B0013NUGDE,A28A2GHGUEED7B,"Jennie ""Pom mom""",0,0,3,1320451200,Product has changed,"I used to think these were basically ""potato crack"" but they have changed the way they process them with my last batch.  They seemed flat and overcooked.  Hopefully, things will get back to normal with the next order."
23954,B0013NUGDE,A2O8HQH5PLBMQE,"Christina Eszenyi ""SPEDteacher""",0,0,4,1301702400,Love popchips!,"This is my least favorite flavor, I find it bland.  But these small bags are great for kids lunches, and a nice alternative to fattening chips.  The chips have a great texture for not being fried."
24227,B0013NUGDE,A7RFDGVXDYQLJ,"JJ ""avid reader""",1,1,4,1327449600,Keep Popping!,"The crisp texture of these PopChips is very appealing.  The chips also stayed whole in the bag, which is a big plus.  They  have a nice sweet potato flavor, with a light hint of salt.  Best of all, no greasy fingers!  I like that they are a healthy alternative to other chips or crackers.  The information on the bag well represents the taste of the chips.  I think that children would like these and they would certainly be a healthy alternative to other chips.  They are also gluten free...which seems to be a growing trend in foods today.  Overall, I would definitively buy these chips again and look forward to trying other flavors of Popchips."
329973,B002QWHJOU,A4BCBSJTWHOU6,dogowner,1,3,3,1337558400,I don't recommend this treat for your dog.,"From a taste perspective, your dog will probably love this product; however, I do not recommend that you buy it for your dog.  As with any dental treat, the purpose is for the dog to chew it and work the toothpaste that is in the treat around the teeth to get them nice and clean.  The problem with this treat is that dogs will literally eat them in three bites, which means that the treat is not working on the teeth.  Also, because the dog eats them in three bites, this product is much more likely to put your dog at risk of choking on them.  This product is very expensive and, from my opinion, I just don't recommend them."
189493,B001EO5Q64,AYL8JOLKGGR9B,Giles Girl,1,1,5,1304812800,Nutiva Coconut Oil is terrific--be careful ordering it from Amazon!,"I knew my coconut oil had arrived because of the dark, oily spot spreading over the outside of the box. The two containers were bubble wrapped with no other packaging around them so they were rolling around in the box while in transit. I called Nutiva who said that Amazon was the seller and packager of their product. (The guy also said that Amazon has some of the worst packaging of items like this in the industry.) The Nutiva guy said that I got a really good price on their product, but with results like I had, I guess I didn't get a good deal as only one container was sealed and safe to use. I am a huge Amazon fan for many things, but unless I get assurances for packaging improvements, I will hesitate before ordering perishable items in the future."
74769,B0026RQTGE,AF3YCQAYR2NGQ,Grandma,0,0,3,1342828800,"Dogs love it, but it caused upset tummies","I have three dogs.  They all loved the Greenies.  One dog does not chew her food, but gulps it whole.  I had to cut the Greenies into smaller portions for her.  It does help clean teeth, but caused diarrhea.  I think I'll look for another product for teeth cleaning."
74663,B0026RQTGE,AWR7YOZ6VLBW1,"D. J. Lee ""fivespd""",1,1,4,1230768000,Great for picky eaters,My dog is the pickiest eater and does not enjoy many treats but he goes crazy over this one. It helps freshen his breath but I don't know how to evaluate the cleaning ability of this product. The only bad thing is that it will make your dog fat if he eats too much.
189471,B001EO5Q64,A2UFE1EHH7LANM,"D. Barnes ""CallMeDee""",1,1,4,1321056000,Love it,"I don't use it for food, but for my hair & it works very well. I wish it was actually an oil rather than me having to put it in the microwave every time to melt it but overall this is a great product & just about the only thing i use on my hair on a daily or every other day basis"
355577,B002QWP8H0,A9XLVHNNA862X,Rkon23,0,0,3,1348012800,Good for breath,"These bones are great for a dog's breath. However, I was looking for something that would take him more than a minute to chew. Still a good treat for doggy breath."
356054,B002QWP8H0,A2F2UOAIUB1V8B,TwoPiecesOfshihTzu,12,20,1,1324684800,WORMS IN GREENIES?????,This is my second box of greenies that I have been quite pleased up until today.  I pull out on greenie and found a WORM along with larvae!! This is horrible.  I had this box for 3 months.  I emptied the box and found about a dozen more worms and was disgusted.  I couldn't believe greenies product was contaminating my dogs.  The expiration date is dated 2013 so this clearly shows that there is something wrong with this product.  I hope someone from the greenies department will give contact me to fix this.  I will be posting these comments on every doggy treat review forum/website until I hear from someone so I know that they are trying to fix it and shows how much they value their customers and product.  I don't know how long I have been feeding greenies with worms in them so my two pups will now have to go to the vet.
23892,B0013NUGDE,AKU6UCK068L9H,Eleni Fredlund,0,0,3,1318723200,not as good as BBQ flavor,"BBQ was out-of-stock when our subscription order was due, so I tried these. Still light and less fatty, but the flavor is off."
563872,B007JFMH8M,A284GGIIM31PGM,Brian,0,1,1,1342051200,ehh,"My kids or I didn't care for it much, they tossed it after a few bites, and what kids throw away cookies????"
74666,B0026RQTGE,A21KPT2TLE20SI,M. J. Glita,4,6,3,1294963200,Wrong size,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!"
563070,B007JFMH8M,A2MMB9EG82GAT8,Cristylovee1,0,0,3,1343088000,Love Quaker but not the best product,"I have only tried Quaker Oatmeal raisin cookies and they were not my favorite, however Im still in love with their Oatmeal cereals and granola!"
356004,B002QWP8H0,A2YQ2ZI65F37N8,T. Gaston,0,0,5,1261008000,Our greyhound loves them,"Looking for a treat that will never be refused, or left lying around?  Our greyhound loves Greenies and the Greenies are doing a great job of keeping his teeth in good shape."
21572,B002QWP89S,AHL0TI6H9FALR,"Old School but Kicking ""Foggy""",7,25,1,1278374400,"The Ultimate Consumer ""Fraud.""","We have two St. Bernards, one of whom is close to ancient, and last year she developed a dental problem.  Someone mentioned GREENIES and off we went to find our old girl something to help her age gracefully and hopefully without pain.  Well, she just loved them - as did the younger Saint - and here we are a couple of thousand dollars later wondering how to wean at least the younger dog off these obviously addictive green hard gel bones that don't have a single expensive ingredient in them.  The packaging, however, is nicer than that of most department stores but just how many of those boxes do I really want?<br /><br />I have calculated that the most expensive dentist around here would have cost less than the dent Greenies have made in my pocketbook.  So this is a warning to first time browsers - move on to another product that might well do the job for a third of the money.  A stop at your local butcher's shop could be cost saving compared to these overpriced pieces of strange green.  Someone should tell these folks that we are inching toward a depression because to date their reaction to what must be declining sales is to just keep upping the price."
23857,B0013NUGDE,A3QO73FZ1J4DIT,Ginni,0,0,3,1328313600,Just okay,"I've tried some of the other pop chips flavors - and they have MUCH more flavor. My kids, however, absolutely love these and since they're so much healthier than potato chips (I hope) I'll probably just continue ordering them."
356073,B002QWP8H0,A3PHNF5AWA5PV0,J. Daniel,0,2,3,1297987200,GREENIES are GREENIES!,"Dogs love them, this box was economical as compared to vet prices, BUT they by no means help my dog's bad breath.  I get stared down every night at ""TREAT TIME"" by my golden retrieve and sheltie, until I am forced to get out of my comfy chair and give them their EXPECTED DESSERT every single night.  As always, my dogs walk all over me! lol"
330022,B002QWHJOU,A3BSV8EOS43FVN,Molly's Mom,1,1,3,1329091200,Greenies,"My medium sized dog will not chew rubber bones.  So I bought greenies hoping the chewing would help keep her teeth clean.<br />she is overweight so I don't give her extra treats during the day.  Unfortunately the Greenies are not as hard as I thought, she is able to bite off and swallow the pieces within a minute or two."
355538,B002QWP8H0,A21KPT2TLE20SI,M. J. Glita,4,6,3,1294963200,Wrong size,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!"
355541,B002QWP8H0,A2DBNDAIHM8XXL,"Dennis Park ""Dennis""",0,0,1,1350950400,very dangerous product for dogs,"i bought this for my dog - he loved it.  however, i noticed that he stopped pooping and came to realize (after googling) that it caused him to be constipated.  His stomach was very bloated and I could feel that his colon was obstructed by something -- a piece of undigested greenies treat.  I gave him all some olive oil and mineral oil and massaged his colon and eventually he started pooping again.  I did notice that the greenie came out undigested!  This product is really dangerous and I would love to join in on a class action lawsuit against this unethical company.  They have made greenies 'tasty' but that is all it is.  a tasty but dangerous product."
74657,B0026RQTGE,AJYYLJ7QYT0H4,My Opinion,1,1,4,1258675200,My Dog Loves Them,What can I say my dog goes crazy over these things - wish I really understood what are in them that makes it so desirable...now if we could only do this for vegetables so kids would be excited!!
21550,B002QWP89S,A132ETQPMHQ585,"Donna's Reviews ""I Love Shopping on Amazon!""",0,2,2,1324166400,Our dogs liked them OK...but!~,"Our dogs liked them OK...but!~....Greenies Dental Chews for Dogs, Teenie Pack, 96 Chews....they are pricey and our two pooches love ....Veggi Dental Chews ...that's all we buy them now on Amazon of course!~"
24199,B0013NUGDE,A1B2UXUU1H9CPT,"K. Haught ""ArLo""",0,5,2,1279238400,Not so good,"After doing numerous googles looking for Chipsters, one of my favorite childhood snacks, some reported that this product was very close to them. I disagree. About the closest flavor to the Chipsters so far would be Munchos, but still not the same. If you are conscious of diet, these will probably due."
24096,B0013NUGDE,A15337TKVGZSBT,carla4515,0,0,5,1249516800,Love these chips--Happy to see them on Amzaon.,"These BBQ chips are crisp, well-spiced, & satisfying.  I don't eat as many of these at 1 sitting as I do with regular (Lay's) BBQ chips.<br />We were buying these at Costco for a short while.  The problem with Costco is that when items become very popular, their bulk cost goes up & Costco moves on to carry something else.  Not even Central Market (TX) carries these!  Thanks goodness for Amazon.  I am signing up for the automatic re-ordering program!"
355920,B002QWP8H0,ARQU1PP9XRO4K,Nancy C. Tanowitz,0,0,5,1296086400,Greenies at a Great Price!,My dogs love Greenies. They are a healthy chewing snack for dogs. I was pleased to purchase Greenies at such a great price. I paid under $23.00 for a tub of 96 tiny Greenies. The same package sells for at least $10 to $15 more for the same product. I will continue to purchase this product from Amazon.com.
24159,B0013NUGDE,APKCN5V7KD784,P. Batchu,0,1,4,1285286400,Good chips but gets boring after a while,"Chips are popped, not fried or roasted. So they taste good and different. I like them but I didn't get addicted to them like the first time I got addicted to lays when I was a kid. And the Original Popchips are not definitely bland like other users have said."
367903,B003B3OOPA,AF8I3WNO7W679,Anita Cordova,0,0,4,1346371200,Favorite Coconut Product,I tried this Organic Extra virgin coconut oil since I already read good things about it and it worked wonders on my hair and skin.
356035,B002QWP8H0,A16EH1TRPC5IDD,Lesal,1,2,2,1341792000,Greenies Treats,Not the best product for the price. I got these for my dog that has plaque problems but I haven't really seen any improvement since we got them. They are okay to give as a treat but as far as helping with plaque I don't think they work at all.
74795,B0026RQTGE,A1ZUR3PD6D0F4,Sarah,0,0,4,1338940800,My pups love it!,"I have two dogs and they both love this it. I've been giving them this treat for over a year now and had no issues. The only reason why I give it a 4 star instead of a 5 is because it does not help my dogs with their minor tartar build up like it's supposed to. Other than that, it's a great treat."
329965,B002QWHJOU,AEQZIQMOC0XPV,this_moment,0,1,1,1347667200,No go,"My dog won't eat these things. I can offer her nothing else to eat all day and she still will literally turn her back and walk away from these things. I tried gifting them to another small dog owner, only to find they are warned against as a choking hazard. Turns out they are so gummy that they sometimes get stuck in a dog's throat and choke the poor thing to death. Maybe my dog knew something I didn't... or maybe they just don't taste or smell that good to some dogs. Buyer beware. (Message me if you want an almost full 96 count box for just the cost of shipping, since if you are going to buy them, I hate to throw away something someone else can use.)"
21565,B002QWP89S,A3P8WFZ3ZPA0AX,brittany,0,4,1,1348099200,Find another treat,"I have an almost two year old lab mix named Ares. I willingly admit to spoiling him and didnt mind getting him these over priced treats. His vet told us that his joints were in need of attention so I took it upon myself to buy Greenies treats that support joint care for large dogs. I started with a small bag to see if he liked them which he did. He was in love with them. I noticed he had a bit more gas than usual coupled with some less solid poop, but I didnt really read to much into it. After giving him these treats he farted almost constantly! He also had diarrhea on a regular basis.Within a week of feeding him these on a regular basis he would stay in the squatting poop position for about three to five minutes every time he pooped trying to get more out. Once he got to the point that he was leaking diarrhea onto my floor it hit me. I called his vet who advised me to discontinue use of this horrid product. After which I looked up reviews and was horrified at what I read. This stuff is posion. Its killing dogs and cats. DONT LOSE YOUR BEST FRIEND OR WASTE YOUR MONEY! Find a better product. Your best friend deserves it."
563486,B007JFMH8M,A1GUFMEKC67DMZ,ksthomps,0,0,4,1341878400,Very tasty,These were really good. I got them free to try and loved them. Very filling and tasty. Me and my husband shared it and we couldn't wait to buy more.
563866,B007JFMH8M,A95PKRD4T3RUG,"Candy Rayne ""~Candy Rayne~""",0,0,3,1341792000,Good cookie,"I got this from Influenster in my mom voxbox,  it was very soft and tasty my husband said, as he was the one who ate it lol!"
367795,B003B3OOPA,A203FQB58I5JXI,Jay,1,1,4,1321574400,coconut oil,"I purchased this product for moisturing and body rubs,(massages). It works well as both, does not stain clothing because the melting point is lower then skin temperature. The only thing I do not like is the odor is stronger then I like."
356087,B002QWP8H0,A3PPFW1RHMAULY,Rob,0,4,3,1316304000,NOT LONG LASTING,"I bought two of these at a pet store. One for 100lb plus dogs. My lab is 45 lbs. She consumed it in minutes.<br />I also got a small one for my older chihuahua mix, she consumed it within minutes.<br />Long lasting they are not !<br /><br />Bull sticks are the only item I have found that last a while. However they smell bad. Even the so called orderless ones."
21416,B002QWP89S,ARLXVI50UPKTI,Denise O'leary,5,6,5,1266105600,Yummy Greenies,My two yorkie/apso dogs come in from morning outing and get all excited waiting for their Greenie.  They've been getting one teenie size every morning for only 2 months - but their teeth and breath are looking and smelling good.  I recommend this healthy treat.
75194,B0026RQTGE,A21M71QTD44GQ1,fishpick,2,5,2,1314144000,Good but GONE,"Supposed to be for cleaning their teeth - right...  well - that would assume they held up to some for of chewing...  our little Border TERRIER (not Collie) ""eats"" one of these in about 5 minutes...  too fast to be of any use to the teeth and almost too fast to cause concern in the digestive tract.  Bummer too because these are supposed to be great for pups teeth...  just an agressive chewer defeats Greenie...  that's all."
75218,B0026RQTGE,A3HHLRVCGQW0L7,Julia Kuiper,1,7,1,1303084800,Didn't receive what I ordered,I ordered the Teenie pack of Greenies that was supposed to come with 96 teenie sized chews. I ended up receiving a pack with 52 teenie sized chews and 8 large chews. I returned the product because I did not receive what I ordered. Amazon couldn't replace my order because they couldn't guarantee I would get the right product if ordered again.
329555,B002QWHJOU,AQ5GU666JJWV,Jeanine Yamazaki,0,0,2,1342051200,Dog got sick,Been buying greenies for years.  Decide to try the senior version but it made my dog sick.  I don't know if its to soft or what but it seemed to get stuck in his throat that he'd eat some grass to throw it up.  Bummed since I bought a tub.
24171,B0013NUGDE,AIN0ZUU09525J,"NotASheep ""Booklover""",2,5,1,1303862400,"To me, ""Original"" flavor just nasty tasting.","Unfortunately, I somehow stumbled upon this product and, based on all the glowing reviews, bought a case.  Upon opening the first bag and eating a couple, I was disgusted by the taste.  Worst thing I've ever ordered from Amazon---and I've ordered a lot.  I don't think the nutritional values are all that great, either."
189709,B001EO5Q64,A3QAWL7H7ODT8K,"Srinivas R. Kukutla ""ks""",0,0,3,1309651200,"Expensive price, good quality","I bought this product but found similar product at half the price in the local asian store. (Not same brand).<br /><br />If you leave the price alone, then the product is every good. The quality , purity and freshness are excellent."
189634,B001EO5Q64,AJXDO02G0Q2LJ,Katie,0,0,5,1333670400,SO VERSITLE,I use this stuff from cooking to skin care. its the best. i love that it comes with two packs so i can use one for skin care and one for cooking.
355576,B002QWP8H0,AWVJ6RRO0Y1FM,"PS ""Wonderwoman""",0,0,5,1348099200,Dog Loves!,My dog loves these treats and they are lite too.  I have been buying them for the last 5 years
563297,B007JFMH8M,A2IQGEH7O523PL,Madilen,1,1,5,1342396800,Delicioso,My daughter and I absolutely love theses oatmeal cookies. Has the right amount of sweetness. Very soft not crunchy like most cookies. Taste like what grandma would bake at home.
355806,B002QWP8H0,A11A2WJJVCTAKP,Rachel D. Schultz,0,0,5,1319328000,Greenies for large dogs,After doing an extensive price comparison we ended up purchasing a double pack from Amazon. So pleased with the Greenies product! Took one of our dogs for his annual exam yesterday and the doctor mentioned TWICE how good our boy's teeth look! YAY!
